id,name,description,price,category,color,create_date
1,Red T-shirt,"A comfortable and stylish red t-shirt made of cotton",15.99,T-shirts,Red,2022-01-01
2,Blue Dress,"A beautiful blue dress with floral pattern and chiffon fabric",49.99,Dresses,Blue,2022-01-02
3,Green Hoodie,"A cozy green hoodie made of soft fleece material",34.99,Hoodies,Green,2022-01-03
4,Yellow Raincoat,"A bright yellow raincoat with waterproof material and attached hood",29.99,Raincoats,Yellow,2022-01-04
5,Purple Scarf,"A warm and fashionable purple scarf made of wool",12.99,Scarves,Purple,2022-01-05
6,Orange Polo Shirt,"A bright orange polo shirt made of breathable material",19.99,Polo Shirts,Orange,2022-01-06
7,Black Leather Jacket,"A sleek and stylish black leather jacket with zippered pockets",89.99,Leather Jackets,Black,2022-01-07
8,White Blouse,"A sophisticated white blouse made of silky material and with ruffled collar",24.99,Blouses,White,2022-01-08
9,Pink Jumpsuit,"A playful pink jumpsuit with spaghetti straps and wide legs",39.99,Jumpsuits,Pink,2022-01-09
10,Brown Boots,"A comfortable pair of brown boots with low heel and faux leather material",49.99,Boots,Brown,2022-01-10
11,Gray Cardigan,"A cozy gray cardigan made of soft knit material and with front buttons",29.99,Cardigans,Gray,2022-01-11
12,Navy Blue Pants,"A classic pair of navy blue pants made of stretchy material",24.99,Pants,Navy Blue,2022-01-12
13,Beige Coat,"A timeless beige coat with double-breasted buttons and waist belt",69.99,Coats,Beige,2022-01-13
14,Maroon Sweater,"A warm and cozy maroon sweater with ribbed collar and cuffs",19.99,Sweaters,Maroon,2022-01-14
15,Olive Green Cargo Pants,"A rugged pair of olive green cargo pants with multiple pockets",39.99,Cargo Pants,Olive Green,2022-01-15
16,Tan Suede Skirt,"A soft and stylish tan suede skirt with A-line silhouette",29.99,Skirts,Tan,2022-01-16
17,Charcoal Gray Blazer,"A sleek and professional charcoal gray blazer with notch lapel",59.99,Blazers,Charcoal Gray,2022-01-17
18,Teal Maxi Dress,"A flowy and elegant teal maxi dress with lace trim and spaghetti straps",49.99,Maxi Dresses,Teal,2022-01-18
19,Magenta Crop Top,"A flirty magenta crop top with ruffled hem and off-the-shoulder sleeves",14.99,Crop Tops,Magenta,2022-01-19
20,Black Leggings,"A versatile pair of black leggings made of stretchy material",14.99,Leggings,Black,2022-01-20
